datetime_utc,datetime_et,session,open,high,low,close,volume
2026-07-13 00:00,2026-07-12 20:00,OVN,583.10,583.95,575.68,578.14,18457
2026-07-13 00:01,2026-07-12 20:01,OVN,575.46,578.38,575.46,577.61,48
2026-07-13 00:02,2026-07-12 20:02,OVN,577.61,579.77,576.90,579.77,421
2026-07-13 00:03,2026-07-12 20:03,OVN,578.89,579.06,578.76,578.85,3272
2026-07-13 00:04,2026-07-12 20:04,OVN,580.00,580.50,580.00,580.50,117
2026-07-13 00:05,2026-07-12 20:05,OVN,580.48,580.48,579.46,579.49,181
2026-07-13 00:06,2026-07-12 20:06,OVN,579.49,581.21,579.48,581.21,2293
2026-07-13 00:07,2026-07-12 20:07,OVN,581.50,581.50,580.51,580.51,383
2026-07-13 00:08,2026-07-12 20:08,OVN,580.51,581.00,580.07,580.87,940
2026-07-13 00:10,2026-07-12 20:10,OVN,581.59,582.90,581.59,581.74,1143
2026-07-13 00:11,2026-07-12 20:11,OVN,581.74,582.3,581.74,581.94,2279
2026-07-13 00:12,2026-07-12 20:12,OVN,581.76,582.49,581.61,581.61,669
2026-07-13 00:13,2026-07-12 20:13,OVN,581.61,581.61,581.01,581.02,130
2026-07-13 00:14,2026-07-12 20:14,OVN,581.32,582.0,581.32,582.0,370
2026-07-13 00:15,2026-07-12 20:15,OVN,582.19,582.52,581.33,581.33,504
2026-07-13 00:16,2026-07-12 20:16,OVN,581.34,581.35,581.05,581.05,140
2026-07-13 00:17,2026-07-12 20:17,OVN,581.16,581.16,580.45,580.45,1482
2026-07-13 00:18,2026-07-12 20:18,OVN,580.06,580.06,579.8,580.01,166
2026-07-13 00:19,2026-07-12 20:19,OVN,580.0,580.0,579.53,579.53,55
2026-07-13 00:20,2026-07-12 20:20,OVN,580.15,580.15,580.0,580.0,18
2026-07-13 00:21,2026-07-12 20:21,OVN,580.17,580.17,580.16,580.16,70
2026-07-13 00:22,2026-07-12 20:22,OVN,580.16,580.16,580.16,580.16,15
