datetime_utc,datetime_et,session,open,high,low,close,volume
2026-07-10 04:00,2026-07-10 00:00,OVN,583.80,583.80,583.80,583.80,4
2026-07-10 04:03,2026-07-10 00:03,OVN,584.19,584.20,584.19,584.20,516
2026-07-10 04:04,2026-07-10 00:04,OVN,584.20,584.28,583.61,583.61,57
2026-07-10 04:05,2026-07-10 00:05,OVN,584.30,584.56,584.30,584.56,989
2026-07-10 04:08,2026-07-10 00:08,OVN,583.47,583.47,583.47,583.47,1
2026-07-10 04:09,2026-07-10 00:09,OVN,584.55,584.59,584.55,584.55,79
2026-07-10 04:11,2026-07-10 00:11,OVN,584.04,584.79,584.04,584.79,97
2026-07-10 04:12,2026-07-10 00:12,OVN,584.79,585.00,584.79,585.00,1332
